Address	"Length (dec)"	"Length (hex)"	Description	Value
09CA9F60	1495072	0016D020	end_sng.bin	4454504B0400000020D0160000000000
09E16F80	1300108	0013D68C	ne_sng.bin	4454504B130000008CD6130000000000
09F54620	40944	9FF0	ay_c1.bin	4454504B01000000F09F000000000000
09F5E620	23292	5AFC	ay_c2.bin	4454504B01000000FC5A000000000000
09F64120	383504	0005DA10	ay_c3.bin	4454504B0100000010DA050000000000
09FC1B40	227872	00037A20	ay_end.bin	4454504B01000000207A030000000000
09FF9560	234016	00039220	ba_cl.bin	4454504B010000002092030000000000
0A032780	119836	0001D41C	ba_c2.bin	4454504B010000001CD4010000000000
0A04FBA0	95696	000175D0	ba_end.bin	4454504B01000000D075010000000000
0A067180	252372	0003D9D4	ba_end2.bin	4454504B01000000D4D9030000000000
0A0A4B60	103108	000192C4	fa_c1.bin	4454504B01000000C492010000000000
0A0BDE40	165960	00028848	fa_end.bin	4454504B010000004888020000000000
0A0E66A0	221560	00036178	gy_c1.bin	4454504B010000007861030000000000
0A11C820	112072	0001B5C8	gy_end.bin	4454504B01000000C8B5010000000000
0A137E00	251124	0003D4F4	hi_c1.bin	4454504B01000000F4D4030000000000
0A175300	188952	0002E218	hi_c2.bin	4454504B0100000018E2020000000000
0A1A3520	100316	000187DC	hi_c3.bin	4454504B01000000DC87010000000000
0A1BBD00	176876	0002B2EC	hi_c4.bin	4454504B01000000ECB2020000000000
0A1E7000	33052	811C	hi_c5.bin	4454504B010000001C81000000000000
0A1EF120	27712	6C40	hi_end.bin	4454504B01000000406C000000000000
0A1F5D60	140788	000225F4	kl_cl.bin	4454504B01000000F425020000000000
0A218360	129764	0001FAE4	kl_c2.bin	4454504B01000000E4FA010000000000
0A237E60	82876	000143BC	kl_end.bin	4454504B01000000BC43010000000000
0A24C220	416624	00065B70	km_c1.bin	4454504B01000000705B060000000000
0A2B1DA0	313864	0004CA08	km_c2.bin	4454504B0100000008CA040000000000
0A2FE7C0	275404	000433CC	km_end.bin	4454504B01000000CC33040000000000
0A341BA0	530012	0008165C	ks_c1.bin	4454504B010000005C16080000000000
0A3C3200	178364	0002B8BC	ks_c2.bin	4454504B01000000BCB8020000000000
0A3EEAC0	149004	0002460C	ks_c3.bin	4454504B010000000C46020000000000
0A4130E0	98264	00017FD8	ks_c4.bin	4454504B01000000D87F010000000000
0A42B0C0	172096	0002A040	ks_end.bin	4454504B0100000040A0020000000000
0A455100	26760	6888	kt_c1.bin	4454504B020000008868000000000000
0A45B9A0	150452	00024BB4	kt_end.bin	4454504B01000000B44B020000000000
0A480560	84400	000149B0	le_c2.bin	4454504B01000000B049010000000000
0A494F20	161560	00027718	lu_end.bin	4454504B010000001877020000000000
0A4BC640	553864	00087388	tg_c123.bin	4454504B000000008873080000000000
0A5439E0	134404	00020D04	tn_c1.bin	4454504B01000000040D020000000000
0A564700	32296	7E28	ay_vskt.bin	4454504B00000000287E000000000000
0A56C540	33232	81D0	km_vsks.bin	4454504B00000000D081000000000000
0A574720	41732	A304	km_vskt.bin	4454504B0000000004A3000000000000
0A57EA40	816032	000C73A0	bgm_01.bin	4454504B18000000A0730C0000000000
0A645DE0	714336	000AE660	hi_uta.bin	4454504B1B00000060E60A0000000000
0A6F4440	453544	0006EBA8	tg_mai.bin	4454504B1A000000A8EB060000000000
0A763000	927324	000E265C	ba_ms.bin	4454504B200000005C260E0000000000
0A845660	331796	00051014	dangset.bin	4454504B200000001410050000000000
0A896680	118596	0001CF44	water.bin	4454504B0100000044CF010000000000
0A8B35E0	160224	000271E0	brrizard.bin	4454504B1F000000E071020000000000
0A8DA7C0	268580	00041924	efc0.chr	1800000048110400CC130400A1000000
0A91C100	1048224	000FFEA0	efc0.bin	00000000000000000000111000000000
0AA1BFA0	24380	5F3C	fix.chr	18000000B05D0000245F00005D000000
0AA21EE0	16512	4080	fix.bin	FF0FFF0FFF0FFF0FFF0F67F7FF0F67F7
0AA25F60	345472	00054580	base_sprite.bin	36033603360336033603360336033603
0AA7A4E0	573440	0008C000	demo_sprite.bin	00000000000000000000000000000000
0AB064E0	1052160	00100E00	game_sprite.bin	FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
0AC072E0	786432	000C0000	ending_sprite.bin	00000000000000000000000000000000
0ACC72E0	977024	000EE880	sel_spr.bin	FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
0ADB5B60	1188608	00122300	test_spr.bin	FF0FFF0FFF0FFF0FFF0FFF0FFF0FFF0F
0AED7E60	86016	00015000	movie_tg_sprite.bin	00000000000000002000200020000000
0AEECE60	49152	C000	movie_hi_sprite.bin	00000000000000000000000100000011
0AEF8E60	393216	00060000	prof_j_sprite.bin	FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
0AF58E60	393216	00060000	prof_e_sprite.bin	FFFFFFFFFFFF7F0FFFFFFFFF77007700
0AFB8E60	291232	000471A0	padding	FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
